"","Year","Region","RegionNum","WarCount","WarCountP","WarCountA"
"461","1892","South Asia","3",0,0,0
"462","1893","South Asia","3",0,0,0
"463","1894","South Asia","3",0,0,0
"464","1895","South Asia","3",0,0,0
"465","1896","South Asia","3",0,0,0
"466","1897","South Asia","3",0,0,0
"467","1898","South Asia","3",0,0,0
"468","1899","South Asia","3",0,0,0
"469","1900","South Asia","3",0,0,0
"470","1901","South Asia","3",0,0,0
"471","1902","South Asia","3",0,0,0
"472","1903","South Asia","3",0,0,0
"473","1904","South Asia","3",0,0,0
"474","1905","South Asia","3",0,0,0
"475","1906","South Asia","3",0,0,0
"476","1907","South Asia","3",0,0,0
"477","1908","South Asia","3",0,0,0
"478","1909","South Asia","3",0,0,0
"479","1910","South Asia","3",0,0,0
"480","1911","South Asia","3",0,0,0
"481","1912","South Asia","3",0,0,0
"482","1913","South Asia","3",0,0,0
"483","1914","South Asia","3",0,0,0
"484","1915","South Asia","3",0,0,0
"485","1916","South Asia","3",0,0,0
"486","1917","South Asia","3",0,0,0
"487","1918","South Asia","3",0,0,0
"488","1919","South Asia","3",0,0,0
"489","1920","South Asia","3",0,0,0
"490","1921","South Asia","3",0,0,0
"491","1922","South Asia","3",0,0,0
"492","1923","South Asia","3",0,0,0
"493","1924","South Asia","3",0,0,0
"494","1925","South Asia","3",0,0,0
"495","1926","South Asia","3",0,0,0
"496","1927","South Asia","3",0,0,0
"497","1928","South Asia","3",0,0,0
"498","1929","South Asia","3",0,0,0
"499","1930","South Asia","3",0,0,0
"500","1931","South Asia","3",0,0,0
"501","1932","South Asia","3",0,0,0
"502","1933","South Asia","3",0,0,0
"503","1934","South Asia","3",0,0,0
"504","1935","South Asia","3",0,0,0
"505","1936","South Asia","3",0,0,0
"506","1937","South Asia","3",0,0,0
"507","1938","South Asia","3",0,0,0
"508","1939","South Asia","3",0,0,0
"509","1940","South Asia","3",0,0,0
"510","1941","South Asia","3",0,0,0
"511","1942","South Asia","3",0,0,0
"512","1943","South Asia","3",0,0,0
"513","1944","South Asia","3",0,0,0
"514","1945","South Asia","3",0,0,0
"515","1946","South Asia","3",0,0,0
"516","1947","South Asia","3",1,1,0
"517","1948","South Asia","3",0,0,0
"518","1949","South Asia","3",0,0,0
"519","1950","South Asia","3",0,0,0
"520","1951","South Asia","3",0,0,0
"521","1952","South Asia","3",0,0,0
"522","1953","South Asia","3",0,0,0
"523","1954","South Asia","3",0,0,0
"524","1955","South Asia","3",0,0,0
"525","1956","South Asia","3",0,0,0
"526","1957","South Asia","3",0,0,0
"527","1958","South Asia","3",0,0,0
"528","1959","South Asia","3",0,0,0
"529","1960","South Asia","3",0,0,0
"530","1961","South Asia","3",0,0,0
"531","1962","South Asia","3",0,0,0
"532","1963","South Asia","3",0,0,0
"533","1964","South Asia","3",0,0,0
"534","1965","South Asia","3",1,0,1
"535","1966","South Asia","3",0,0,0
"536","1967","South Asia","3",0,0,0
"537","1968","South Asia","3",0,0,0
"538","1969","South Asia","3",0,0,0
"539","1970","South Asia","3",0,0,0
"540","1971","South Asia","3",1,1,0
"541","1972","South Asia","3",0,0,0
"542","1973","South Asia","3",0,0,0
"543","1974","South Asia","3",0,0,0
"544","1975","South Asia","3",0,0,0
"545","1976","South Asia","3",0,0,0
"546","1977","South Asia","3",0,0,0
"547","1978","South Asia","3",0,0,0
"548","1979","South Asia","3",0,0,0
"549","1980","South Asia","3",0,0,0
"550","1981","South Asia","3",0,0,0
"551","1982","South Asia","3",0,0,0
"552","1983","South Asia","3",0,0,0
"553","1984","South Asia","3",0,0,0
"554","1985","South Asia","3",0,0,0
"555","1986","South Asia","3",0,0,0
"556","1987","South Asia","3",0,0,0
"557","1988","South Asia","3",0,0,0
"558","1989","South Asia","3",0,0,0
"559","1990","South Asia","3",0,0,0
"560","1991","South Asia","3",0,0,0
"561","1992","South Asia","3",0,0,0
"562","1993","South Asia","3",0,0,0
"563","1994","South Asia","3",0,0,0
"564","1995","South Asia","3",0,0,0
"565","1996","South Asia","3",0,0,0
"566","1997","South Asia","3",0,0,0
"567","1998","South Asia","3",0,0,0
"568","1999","South Asia","3",1,0,1
"569","2000","South Asia","3",0,0,0
"570","2001","South Asia","3",0,0,0
"571","2002","South Asia","3",0,0,0
"572","2003","South Asia","3",0,0,0
"573","2004","South Asia","3",0,0,0
"574","2005","South Asia","3",0,0,0
"575","2006","South Asia","3",0,0,0
"576","2007","South Asia","3",0,0,0
"577","1816","Oceania","4",0,0,0
"578","1817","Oceania","4",0,0,0
"579","1818","Oceania","4",0,0,0
"580","1819","Oceania","4",0,0,0
"581","1820","Oceania","4",0,0,0
"582","1821","Oceania","4",0,0,0
"583","1822","Oceania","4",0,0,0
"584","1823","Oceania","4",0,0,0
"585","1824","Oceania","4",0,0,0
"586","1825","Oceania","4",0,0,0
"587","1826","Oceania","4",0,0,0
"588","1827","Oceania","4",0,0,0
"589","1828","Oceania","4",0,0,0
"590","1829","Oceania","4",0,0,0
"591","1830","Oceania","4",0,0,0
